호선,역,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
1호선,서울역,640,46,"10,893","9,988","31,160","59,484","98,747","133,704","158,146","266,527","114,052","176,518","96,335","101,614","108,797","97,402","124,002","106,463","117,602","103,688","102,710","95,523","131,355","108,866","148,536","118,338","233,272","146,449","265,009","176,480","139,116","114,887","100,956","81,654","108,886","77,427","76,461","58,443","41,204","29,414","4,306","7,715",17,176,0,0,0,0,2025-08-03 10:00:47
1호선,시청,58,0,"1,922","6,003","3,840","29,242","7,235","85,813","10,112","228,240","12,442","93,417","15,422","42,495","21,429","38,971","23,730","34,441","29,907","34,075","35,290","27,610","45,335","24,192","58,857","23,604","101,660","25,652","175,882","24,747","62,854","13,016","56,026","9,124","48,640","8,323","30,941","6,086","10,053","4,112",548,"1,017",0,18,0,0,0,0,2025-08-03 10:00:47
1호선,종각,91,6,"3,877","7,002","4,222","42,993","7,023","131,921","10,219","299,727","13,335","151,761","19,552","61,304","29,884","57,185","36,754","50,489","45,077","50,404","55,757","40,487","69,119","37,379","87,264","40,099","171,955","48,039","236,293","50,356","97,632","25,691","87,318","13,395","86,904","10,155","62,230","7,481","25,694","4,750","1,936","1,318",0,5,0,0,0,0,2025-08-03 10:00:47
1호선,종로3가,150,12,"4,007","3,684","4,389","15,068","6,771","29,938","10,419","72,397","14,970","67,886","22,198","55,825","33,642","61,797","44,345","58,790","45,015","53,611","51,360","45,555","58,505","39,350","67,836","38,056","85,373","37,072","91,662","37,356","52,682","19,163","45,226","11,624","47,953","9,540","35,652","8,035","15,378","5,546","1,506","2,106",1,27,0,0,0,0,2025-08-03 10:00:47
1호선,종로5가,47,0,"2,013","3,973","3,328","18,997","6,518","46,204","11,364","97,370","16,378","66,709","27,500","58,588","37,927","57,409","44,822","50,710","49,993","47,204","57,240","43,761","59,008","38,123","65,794","36,580","89,424","34,827","93,309","32,182","46,562","18,819","33,105","10,781","29,555","7,991","19,448","6,598","5,699","3,875",389,"1,124",0,1,0,0,0,0,2025-08-03 10:00:47
1호선,동대문,512,20,"11,992","2,119","9,530","7,225","15,640","12,598","22,661","20,045","21,754","21,637","18,919","22,764","20,782","25,635","23,449","23,754","24,421","23,727","25,314","21,934","25,679","22,004","27,103","21,702","26,384","22,400","24,604","22,494","17,395","21,729","15,882","16,015","14,349","15,259","11,009","15,551","5,716","10,288",824,"3,072",6,278,0,0,0,0,2025-08-03 10:00:47
1호선,신설동,365,19,"9,409","2,298","10,692","9,520","23,776","27,177","34,153","56,887","22,411","34,877","20,516","20,926","21,791","18,015","23,702","17,717","24,123","19,336","22,069","18,059","24,060","20,164","30,040","22,589","43,893","25,888","55,290","32,556","20,609","23,783","14,723","16,664","12,702","16,396","8,560","15,215","3,609","9,468",396,"2,737",0,0,0,0,0,0,2025-08-03 10:00:47
1호선,제기동,361,3,"5,516","2,561","9,720","10,850","23,430","23,249","34,178","41,157","24,806","33,601","26,105","34,660","30,050","39,709","33,010","40,590","33,642","40,585","36,285","35,525","40,087","31,344","42,431","31,994","43,867","28,490","39,410","28,848","21,019","18,945","14,540","12,099","8,703","11,976","5,691","9,509","2,174","6,269",173,"1,394",0,0,0,0,0,0,2025-08-03 10:00:47
1호선,청량리(서울시립대입구),"1,209",30,"11,196","3,164","20,041","11,576","53,740","18,914","62,309","41,668","37,868","38,414","35,427","40,250","39,031","45,250","43,934","44,351","44,848","44,627","44,794","44,834","47,337","45,772","50,513","47,844","51,940","51,926","47,169","64,861","27,013","40,400","20,716","24,535","16,139","23,195","9,750","20,259","4,168","12,330",343,"3,906",0,0,0,0,0,0,2025-08-03 10:00:47
1호선,동묘앞,221,8,"2,820",959,"4,118","5,772","9,523","11,249","15,007","22,560","12,603","18,802","14,564","21,507","19,807","25,654","25,510","27,121","28,004","29,219","27,431","24,538","28,206","21,666","29,107","18,680","27,032","15,551","21,511","14,481","11,706","9,985","6,702","6,698","5,440","7,016","3,607","7,086","1,288","4,710",130,"2,116",1,280,0,1,0,0,2025-08-03 10:00:47
